Text,Label
sahi bt h,Positive
kya bt hai,Positive
wah je wah,Positive
are wha kaya bat hai,Positive
wah kya baat likhi,Positive
wha itni sari khubiya,Positive
itni khubiya,Positive
ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,Positive
please everyone allah swt ka naam hamesha bary lawzo main likha kary wo he zaat sub say bari hey,Positive
ya mere rab tu bra kreem hy is mulk k halat pr reham frma is watneaziz ki hifazat frmaamin,Positive
jaago pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago pakistan key logo,Positive
kia kia jae kon sacha ha allah jany pak kese bdl sakta ha i think nsl to ase e guzr jain gi bd me koi hua to pta ni,Positive
afsos hota hai garip insan kha jay allah ki lati me awaz hai jo zulum kry ga allah ki lati pary gi,Positive
allah insaaf karey,Positive
allah musalman phir dor e jahalat me jaraha h hiyaday farma aese logo ko jo awam ki zindgiyo ko azab bana rahy hai inko to garak kardy,Positive
je thik kaha right,Positive
jee ye to he,Positive
maa cheez e ase ha jis ka koi namil badl ni,Positive
wah wah yeh toh hy,Positive
jee ye to he,Positive
zenda bad yar,Positive
es leay muskurany ki koshish kia karo es se wo loug ju apk rouny pr muskuraty hain wo loug phir apki hansi pe jalyn gy,Positive
wha bhut qoob,Positive
right or sada time same nahi rehtaaaaaa,Positive
wha wha kaya bat hai,Positive
bohat khoob so true alhamdulillah,Positive
dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,Positive
sjdo me bhi wo hi pda he jis k dil me khuda ka dr he,Positive
beshaq haq baat hai,Positive
right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,Positive
right mara jasa masom log,Positive
mashaallah,Positive
mubarak,Positive
ma hun hero tara,Positive
feel kar speed bot ki,Positive
isy kahty han hop hip hop powered by abraham tamim,Positive
great aadmi aadmi,Positive
in england attaullah esakhelvi married with a pakistani ethnography british lady,Positive
he has one son with her,Positive
he got second marriage with bazgha she is famous manuscript actress and they have only daughter named laraib and only son named sanwal,Positive
he received honorable award from the government of pakistan and life time achievement award from the queen of england,Positive
he entered in guinness book of world record for the singer of most recorded albums,Positive
attaullah esakhelvi ka shumar un gine chune artists mein kiya jata hai jin ki maqboliyat mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio tv ya film ke marhoon e minnat nahi hai,Positive
agarcha aise artists mein munni begum aur aziz miyan qawaal ka naam bhi shamil hai,Positive
lekin top of the list attaullah esakhelvi ka naam he samjha jata hai,Positive
jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai dilchasp bhi aur kar hawalon se qabil e taqleed bhi,Positive
in mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,Positive
jab school teachers ne in ki awaaz suni to mukesh aur rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,Positive
wohi un ki infaradiyat bana,Positive
yahin qismat ki devi un par meharban hui aur rehmat gramophone house naami aik company ne un ke songs ki recording ki udhar zindagi ka janaza uthega aur saraiki geet naki jae gal tu rus naa ae dhola choti si baat par naraz ho jate ho maahi jab market mein aae to jaise hulchul mach gai,Positive
har taraf ataullah niazi ki singing ka charcha hone laga,Positive
lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,Positive
radio aur tv jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,Positive
lekin dosri taraf village dehaat qasbon buses wagons aur chae khano mein attaullah esakhelvi ki awaaz ka tota bol raha tha,Positive
taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke attaullah esakhelvi ki cassette lagaoge mianwali ke logon ne inhe bataya ke tumhare naam se esakhel mein hotel khul gae hain,Positive
jagah jagah tumhari taswirein lagi hain aur mianwali mein sirf tumhari cassette he farokht hoti hai to attaullah esakhelvi ne phir esakhel jane ka qasd kiya,Positive
phir yeh hua ke radio pakistan ke farmaishi naghmon ke programs mein log attaullah esakhelvi ke songs ki farmaiysh karte,Positive
radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein attaullah esakhelvi ko madaoo karen aur aakhirkar majboor ho kar attaullah esakhelvi se radio pakistan aane ki darkhuwast karni parhi,Positive
ki dehaai ka yeh wo zamana tha jab attaullah esakhelvi aik cassette ki recording ka muaawza lac rupees liya karte the,Positive
tahum radio par songs ka muaawza inhe rupey ka cheque mila jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai,Positive
